,RNum,CNum
0,R00268,C00011
1,R00268,C00026
2,R00268,C05379
3,R00342,C00003
4,R00342,C00004
5,R00342,C00036
6,R00342,C00149
7,R00351,C00010
8,R00351,C00024
9,R00351,C00036
10,R00351,C00158
11,R00361,C00036
12,R00361,C00149
13,R00658,C00074
14,R00658,C00631
15,R01015,C00111
16,R01015,C00118
17,R01061,C00003
18,R01061,C00004
19,R01061,C00118
20,R01061,C00236
21,R01070,C00111
22,R01070,C00118
23,R01070,C05378
24,R01196,C00010
25,R01196,C00011
26,R01196,C00022
27,R01196,C00024
28,R01196,C00138
29,R01196,C00139
30,R01197,C00010
31,R01197,C00011
32,R01197,C00026
33,R01197,C00091
34,R01197,C00138
35,R01197,C00139
36,R01325,C00158
37,R01325,C00417
38,R01512,C00002
39,R01512,C00008
40,R01512,C00197
41,R01512,C00236
42,R01518,C00197
43,R01518,C00631
44,R01786,C00002
45,R01786,C00008
46,R01786,C00267
47,R01786,C00668
48,R01899,C00005
49,R01899,C00006
50,R01899,C00311
51,R01899,C05379
52,R01900,C00311
53,R01900,C00417
54,R02740,C00668
55,R02740,C05345
56,R04779,C00002
57,R04779,C00008
58,R04779,C05345
59,R04779,C05378
60,R10343,C00024
61,R10343,C00042
62,R10343,C00091
