,Control,Clone A,Clone B
BIOMASS,7.9967438e-07,1.3970582e-06,1.0273252e-06
R00200,-0.18662411,-0.071068113,-0.040512012
R00268,0.0,0.0046467547,0.0
R00341,0.01733336,-0.0046476376,0.01193774
R00342,0.017334153,5.0190714e-07,0.011938759
R00351,0.0,-0.0046467547,0.0
R00405,-0.017333865,0.0,-0.01193839
R00658,0.16929075,0.075715751,0.028574272
R00703,-0.18662371,-0.066420652,-0.040511493
R01015,-0.084645785,-0.037858588,-0.01428766
R01049,1.0283733e-07,1.7966029e-07,1.32113e-07
R01056,-6.8558217e-08,-1.1977353e-07,-8.8075332e-08
R01061,0.16929154,0.075717117,0.028575277
R01070,0.084645785,0.037858588,0.01428766
R01082,-0.017334153,-5.0190714e-07,-0.011938759
R01196,0.0,-0.0046467547,0.0
R01197,-0.017333865,0.0,-0.01193839
R01325,0.0,0.0046467547,0.0
R01512,-0.16929154,-0.075717117,-0.028575277
R01518,-0.16929075,-0.075715751,-0.028574272
R01528,0.0,0.0,0.0
R01529,-6.8558217e-08,-1.1977353e-07,-8.8075332e-08
R01641,3.4279109e-08,5.9886764e-08,4.4037666e-08
R01786,0.084646039,0.037859033,0.014287987
R01830,3.4279109e-08,5.9886764e-08,4.4037666e-08
R01899,0.0,0.0046467547,0.0
R01900,0.0,-0.0046467547,0.0
R02035,0.0,0.0,0.0
R02164,0.017333865,0.0,0.01193839
R02740,0.084645819,0.037858648,0.014287704
R04779,0.084645785,0.037858588,0.01428766
Glucose_input,0.084646039,0.037859033,0.014287987
Oxygen_input,3.2267153e-06,0.0046523918,4.1452948e-06
CO2_output,0.034670165,0.0092977616,0.023879906
Lactate_output,0.18662371,0.066420652,0.040511493
Acetate_output,0.0,0.0,0.0
Glutamate_input,0.017335052,-0.004644682,0.011939914
Ammonia_input,-0.017334764,0.0046451839,-0.011939545
Glu_Exchange,0.0,0.0,0.0
acetyl_CoA_hydrolase,-3.7241636e-08,-6.5062399e-08,-4.7843563e-08
NADP_Exchange,2.5058284e-06,0.0046511324,3.2191863e-06
ADP_Exchange,0.18662203,0.098944993,0.04050933
AMP_Exchange,1.0283733e-07,1.7966029e-07,1.32113e-07
R00835,0.0,0.0,0.0
R08575,-3.4279109e-08,-5.9886764e-08,-4.4037666e-08
R00243,0.017335052,-0.004644682,0.011939914
Oxophos,3.2267153e-06,0.0046523918,4.1452948e-06
